,name,latitude,longitude,empty_slots,free_bikes,total_bikes
348,Berry Rd / Bell Manor Dr,43.63732,-79.489083,16,3,19
349,Humber College,43.5961692,-79.5160575,24,1,25
350,Amos Waites Park,43.613606,-79.4883535,2,23,25
351,Priscilla  Ave / Dundas St W,43.664665,-79.489385,14,8,22
352,Durie St / Dundas St W,43.665523,-79.484892,16,6,22
353,St Clair Ave W / Castleton Ave,43.668496,-79.485426,6,11,17
354,Weston Lions Park,43.698841,-79.519472,12,14,26
355,Annette St / Jane St,43.658574,-79.487246,7,6,13
356,Jameson Ave / Queen St W,43.63985,-79.43703,12,14,26
357,Carlaw Ave / Dundas St E,43.665076,-79.341509,6,3,9
358,Toronto Inukshuk Park,43.6323994,-79.40978179999999,42,4,46
359,Cosburn Ave / Durant Ave,43.6935477,-79.3301658,7,8,15
360,Swansea Community Centre,43.6438036,-79.4770327,3,12,15
361,Bellwoods Ave / Treford Pl - SMART,43.65246,-79.413528,11,7,18
362,Bayview Ave / Lawren Harris Square,43.6548521,-79.35397680000001,5,9,14
363,The Queensway / High St,43.630874,-79.482407,0,22,22
364,Symington Ave / Davenport Rd,43.6704403,-79.45328549999999,3,10,13
365,Front St E / Bayview Avenue,43.6535,-79.354068,7,14,21
366,Oak St / Sumach St,43.6617908,-79.361515,9,18,27
367,The Esplanade / Hahn Pl,43.649709,-79.364184,7,11,18
368,439 Sherbourne St,43.666051,-79.374161,32,15,47
369,Glebe Rd W / Yonge St,43.7005976,-79.397345,18,1,19
370,Hillsdale Ave W / Yonge St,43.7029672,-79.3979073,10,5,15
371,Alvin Ave / St Clair Ave E,43.68871,-79.39264,18,1,19
372,Eglinton Ave W / Scarlett Rd,43.6834703,-79.5108942,10,12,22
373,The Pond Rd / Sentinel Rd,43.7696262,-79.5025943,25,2,27
374,Sentinel Rd / Finch Corridor Trail,43.7641485,-79.5012809,17,9,26
375,Finch West Subway Station,43.76521,-79.491281,21,2,23
376,Dufferin St / Finch Corridor Trail,43.7724019,-79.4675395,10,8,18
377,G Ross Lord Park,43.7781116,-79.467963,16,3,19
378,Elwood Blvd / Avenue Rd,43.707049,-79.40966,22,1,23
379,Roehampton Ave / Bayview Ave,43.711751,-79.378615,13,14,27
380,Teddington Park Ave,43.732975,-79.40401,7,8,15
381,Ursula Franklin St / Huron St - SMART,43.660274,-79.398049,13,7,20
382,Woodbine Ave / O'Connor Dr,43.699281,-79.318802,14,4,18
383,Dawes Rd / Taylor Creek Trl,43.696631,-79.297436,2,14,16
384,Queen St W / John St,43.650077,-79.391291,14,7,21
385,Fairmount Park,43.6765897,-79.3163022,6,13,19
386,Richmond St W / York St,43.650745,-79.383633,13,4,17
387,Sunnybrook Park,43.720233,-79.362092,19,8,27
388,Vaughan Rd / Oakwood Ave,43.6926825,-79.441042,17,1,18
389,Braemar Ave / Eglinton Ave W,43.7041957,-79.4094472,14,0,14
390,Eglinton Ave E / Redpath Ave,43.7078691,-79.39248,3,9,12
391,Marie Curtis Park,43.5880774,-79.5432067,7,16,23
392,Guildwood GO Station (South),43.754978,-79.1971289,4,6,10
393,Chorley Park - SMART,43.6856,-79.3718,4,15,19
394,Cherry Beach,43.637764,-79.345359,36,11,47
395,Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,24,12,36
396,Ursula Franklin St / St. George St - SMART,43.660296,-79.397107,11,5,16
397,Rouge Hill GO Station,43.7805505,-79.1301203,23,1,24
398,Colonel Danforth Park,43.7777114,-79.1659711,10,7,17
